Grid size: 100x100
Iterations: 50
Total time: 0.6447 seconds
Time per iteration: 12.8942 ms
         1178390 function calls (1161290 primitive calls) in 1.234 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    315/1    0.002    0.000    1.235    1.235 {built-in method builtins.exec}
        1    0.000    0.000    1.235    1.235 game_of_life.py:1(<module>)
       34    0.002    0.000    0.815    0.024 __init__.py:1(<module>)
        1    0.000    0.000    0.652    0.652 game_of_life.py:175(main)
       50    0.645    0.013    0.645    0.013 game_of_life.py:103(update_grid)
    365/5    0.002    0.000    0.588    0.118 <frozen importlib._bootstrap>:1349(_find_and_load)
    362/5    0.001    0.000    0.588    0.118 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    347/6    0.001    0.000    0.587    0.098 <frozen importlib._bootstrap>:911(_load_unlocked)
    300/6    0.001    0.000    0.587    0.098 <frozen importlib._bootstrap_external>:989(exec_module)
   832/11    0.001    0.000    0.586    0.053 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   456/14    0.000    0.000    0.540    0.039 {built-in method builtins.__import__}
   351/67    0.001    0.000    0.492    0.007 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.350    0.350 pyplot.py:1(<module>)
1163/1073    0.013    0.000    0.297    0.000 {built-in method builtins.__build_class__}
      106    0.002    0.000    0.211    0.002 artist.py:158(_update_set_signature_and_docstring)
      105    0.000    0.000    0.208    0.002 artist.py:125(__init_subclass__)
        1    0.000    0.000    0.186    0.186 figure.py:1(<module>)
      120    0.000    0.000    0.165    0.001 artist.py:1832(kwdoc)
      120    0.004    0.000    0.141    0.001 artist.py:1593(pprint_setters)
        1    0.000    0.000    0.135    0.135 image.py:1(<module>)
        1    0.000    0.000    0.125    0.125 backend_bases.py:1(<module>)
     4409    0.009    0.000    0.114    0.000 artist.py:1461(get_valid_values)
     7941    0.058    0.000    0.108    0.000 inspect.py:875(cleandoc)
        1    0.000    0.000    0.082    0.082 text.py:1(<module>)
     7512    0.004    0.000    0.078    0.000 inspect.py:856(getdoc)
        1    0.000    0.000    0.068    0.068 _axes.py:1(<module>)
        1    0.000    0.000    0.065    0.065 rcsetup.py:1(<module>)
      227    0.000    0.000    0.055    0.000 artist.py:1413(__init__)
      227    0.018    0.000    0.055    0.000 artist.py:1433(get_aliases)
        1    0.000    0.000    0.054    0.054 __config__.py:1(<module>)
      300    0.002    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.053    0.053 patches.py:1(<module>)
     7081    0.004    0.000    0.043    0.000 __init__.py:280(_compile)
        1    0.000    0.000    0.039    0.039 _base.py:1(<module>)
      300    0.004    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.000    0.000    0.038    0.038 axes3d.py:1(<module>)
      227    0.012    0.000    0.037    0.000 artist.py:1511(get_setters)
        1    0.000    0.000    0.037    0.037 _fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.035    0.035 widgets.py:1(<module>)
      300    0.035    0.000    0.035    0.000 {built-in method marshal.loads}
      229    0.001    0.000    0.035    0.000 _compiler.py:740(compile)
        1    0.000    0.000    0.034    0.034 collections.py:1(<module>)
     5929    0.003    0.000    0.031    0.000 __init__.py:174(search)
        3    0.001    0.000    0.030    0.010 core.py:1(<module>)
        1    0.000    0.000    0.030    0.030 _arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.030    0.030 _index_tricks_impl.py:1(<module>)
        9    0.000    0.000    0.030    0.003 _base.py:783(__init_subclass__)
       31    0.003    0.000    0.029    0.001 __init__.py:887(_rc_params_in_file)
  128/117    0.001    0.000    0.027    0.000 _docstring.py:122(__call__)
        1    0.000    0.000    0.027    0.027 defmatrix.py:1(<module>)
      788    0.000    0.000    0.026    0.000 inspect.py:3308(signature)
        1    0.000    0.000    0.026    0.026 _linalg.py:1(<module>)
      788    0.000    0.000    0.026    0.000 inspect.py:3050(from_callable)
  919/788    0.003    0.000    0.025    0.000 inspect.py:2470(_signature_from_callable)
        1    0.000    0.000    0.025    0.025 colors.py:1(<module>)
      360    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       14    0.000    0.000    0.022    0.002 _docstring.py:73(__missing__)
      977    0.001    0.000    0.022    0.000 __init__.py:751(__setitem__)
      229    0.001    0.000    0.021    0.000 _parser.py:969(parse)
  332/203    0.000    0.000    0.020    0.000 typing.py:392(inner)
  516/229    0.001    0.000    0.020    0.000 _parser.py:452(_parse_sub)
      339    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
  596/254    0.007    0.000    0.019    0.000 _parser.py:512(_parse)
      339    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.000    0.000    0.019    0.019 art3d.py:1(<module>)
        1    0.000    0.000    0.019    0.019 _axes.py:67(Axes)
       91    0.000    0.000    0.018    0.000 __init__.py:226(compile)
        1    0.000    0.000    0.018    0.018 _add_newdocs.py:1(<module>)
      750    0.006    0.000    0.018    0.000 inspect.py:2366(_signature_from_function)
      756    0.005    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      350    0.001    0.000    0.016    0.000 function_base.py:490(add_newdoc)
    24/20    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:1295(exec_module)
    24/20    0.009    0.000    0.015    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.015    0.015 multiarray.py:1(<module>)
        1    0.000    0.000    0.015    0.015 contour.py:1(<module>)
      350    0.001    0.000    0.015    0.000 function_base.py:474(_add_docstring)
     7146    0.008    0.000    0.014    0.000 inspect.py:2712(__init__)
190475/189181    0.014    0.000    0.014    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.014    0.014 cm.py:1(<module>)
        2    0.000    0.000    0.014    0.007 __init__.py:704(__getattr__)
   100052    0.014    0.000    0.014    0.000 {method 'startswith' of 'str' objects}
